CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00000071-CL-UD-CTL,San Diego,92139,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000103-CL-UD-CTL,San Diego,92110,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000117-CL-UD-CTL,Vista,92084,1,2018,Request for Dismissal,N,N,Y
37-2018-00000125-CL-UD-CTL,SAN DIEGO,92117,1,2018,Court-ordered dismissal,N,N,Y
37-2018-00000137-CL-UD-CTL,Lakeside,92040,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000147-CL-UD-CTL,Chula Vista,91913,1,2018,Court-ordered dismissal,N,N,N
37-2018-00000154-CL-UD-CTL,Vista,92083,1,2018,Request for Dismissal,N,N,N
37-2018-00000157-CL-UD-CTL,San Diego,92110,1,2018,Request for Dismissal,N,N,N
37-2018-00000161-CL-UD-CTL,Chula Vista,91911,1,2018,Request for Dismissal,N,N,N
37-2018-00000166-CL-UD-CTL,CHULA VISTA,91910,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000170-CL-UD-CTL,San Diego,92110,1,2018,Request for Dismissal,N,N,N
37-2018-00000172-CL-UD-CTL,San Diego,92115,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000175-CL-UD-CTL,San Diego,92122,1,2018,Request for Dismissal,N,N,N
37-2018-00000180-CL-UD-CTL,Vista,92083,1,2018,Stipulated judgment,Y,N,N
37-2018-00000181-CL-UD-CTL,La Mesa,91941,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000190-CL-UD-CTL,Santee,92071,1,2018,Request for Dismissal,N,N,N
37-2018-00000202-CL-UD-CTL,Chula Vista,91910,1,2018,Request for Dismissal,N,N,N
37-2018-00000217-CL-UD-CTL,San Diego,92101,1,2018,Stipulated judgment,Y,N,N
37-2018-00000223-CL-UD-CTL,La Mesa,91942,1,2018,,Y,N,N
37-2018-00000236-CL-UD-CTL,Alpine,91901,1,2018,Request for Dismissal,N,N,N
37-2018-00000239-CL-UD-CTL,San Diego,92101,1,2018,Court-ordered dismissal,N,N,N
37-2018-00000240-CL-UD-CTL,Santee,92071,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000247-CL-UD-CTL,Oceanside,92057,1,2018,Request for Dismissal,N,N,N
37-2018-00000255-CL-UD-CTL,Oceanside,92057,1,2018,Request for Dismissal,N,N,N
37-2018-00000265-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00000269-CL-UD-CTL,San Diego,92105,1,2018,Stipulated judgment,Y,N,N
37-2018-00000273-CL-UD-CTL,Vista,92083,1,2018,Stipulated judgment,Y,N,N
37-2018-00000285-CL-UD-CTL,San Diego,92101,1,2018,Request for Dismissal,N,N,N
37-2018-00000292-CL-UD-CTL,San Diego,92109,1,2018,Default judgment by court,N,Y,Y
37-2018-00000300-CL-UD-CTL,Chula Vista,91910,1,2018,Court-ordered dismissal,N,N,N
37-2018-00000302-CL-UD-CTL,Valley Center,92082,1,2018,Request for Dismissal,N,N,N
37-2018-00000304-CL-UD-CTL,San Marcos,92069,1,2018,Court finding,Y,Y,N
37-2018-00000305-CL-UD-CTL,San Diego,92113,1,2018,Court-ordered dismissal,Y,N,N
