CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00000072-CL-UD-CTL,San Diego,92102,1,2018,Default judgment by court,N,Y,Y
37-2018-00000084-CL-UD-CTL,Spring Valley,91978,1,2018,Default judgment by court,N,Y,Y
37-2018-00000085-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000099-CL-UD-CTL,San Diego,92113,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000171-CL-UD-CTL,San Diego,92115,1,2018,Default judgment by court,N,Y,Y
37-2018-00000174-CL-UD-CTL,Solana Beach,92075,1,2018,Court finding,Y,N,N
37-2018-00000177-CL-UD-CTL,Santee,92071,1,2018,Court finding,Y,Y,N
37-2018-00000183-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00000198-CL-UD-CTL,La Mesa,91941,1,2018,Default judgment by court,N,Y,Y
37-2018-00000201-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00000208-CL-UD-CTL,Carlsbad,92009,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000218-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000226-CL-UD-CTL,Lakeside,92040,1,2018,Dismissed,N,N,Y
37-2018-00000232-CL-UD-CTL,Chula Vista,91913,1,2018,Default judgment by court,N,Y,Y
37-2018-00000235-CL-UD-CTL,Chula Vista,91913,1,2018,Default judgment by court,N,Y,Y
37-2018-00000251-CL-UD-CTL,Oceanside,92057,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000253-CL-UD-CTL,Vista,92083,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000258-CL-UD-CTL,San Diego,92107,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000271-CL-UD-CTL,Chula Vista,91911,1,2018,Court-ordered dismissal,N,Y,N
37-2018-00000276-CL-UD-CTL,San Diego,92109,1,2018,Default judgment by court,N,Y,Y
37-2018-00000279-CL-UD-CTL,San Diego,92117,1,2018,,N,Y,Y
37-2018-00000286-CL-UD-CTL,San Diego,92107,1,2018,Court finding,Y,Y,Y
37-2018-00000287-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00000288-CL-UD-CTL,San Diego,92115,1,2018,Default judgment by court,N,Y,Y
37-2018-00000290-CL-UD-CTL,Spring Valley,91977,1,2018,Default judgment by court,N,Y,Y
37-2018-00000291-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000296-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,Y,Y
37-2018-00000298-CL-UD-CTL,San Marcos,92069,1,2018,Default judgment by court,N,Y,Y
37-2018-00000301-CL-UD-CTL,San Marcos,92069,1,2018,Default judgment by court,N,Y,Y
37-2018-00000314-CL-UD-CTL,SOLANA BEACH,92075,1,2018,Stipulated judgment,N,N,N
37-2018-00000316-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00000318-CL-UD-CTL,SAN DIEGO,92126,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000319-CL-UD-CTL,San Diego,92124,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000322-CL-UD-CTL,San Diego,92128,1,2018,Default judgment by court,N,Y,Y
37-2018-00000323-CL-UD-CTL,ALPINE,91901,1,2018,Court finding,Y,Y,Y
37-2018-00000324-CL-UD-CTL,La Mesa,91942,1,2018,Default judgment by court,N,N,Y
37-2018-00000330-CL-UD-CTL,San Diego,92154,1,2018,Court finding,Y,N,N
37-2018-00000339-CL-UD-CTL,Vista,92083,1,2018,Default judgment by court,N,Y,Y
37-2018-00000340-CL-UD-CTL,CHULA VISTA,91911,1,2018,Court finding,Y,Y,N
37-2018-00000342-CL-UD-CTL,San Diego,92111,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000348-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00000360-CL-UD-CTL,Oceanside,92058,1,2018,Default judgment by court,N,Y,Y
37-2018-00000362-CL-UD-CTL,San Diego,92123,1,2018,Court finding,Y,N,Y
37-2018-00000410-CL-UD-CTL,Chula Vista,91910,1,2018,Court finding,Y,Y,N
37-2018-00000420-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00000458-CL-UD-CTL,EL Cajon,92020,1,2018,Court finding,Y,Y,N
37-2018-00000462-CL-UD-CTL,Escondido,92026,1,2018,Court finding,Y,Y,N
37-2018-00000467-CL-UD-CTL,San Diego,92115,1,2018,Court finding,Y,N,N
37-2018-00000470-CL-UD-CTL,El Cajon,92020,1,2018,Default judgment by court,N,Y,N
37-2018-00000487-CL-UD-CTL,San Diego,92103,1,2018,Default judgment by court,N,N,Y
37-2018-00000514-CL-UD-CTL,El Cajon,92019,1,2018,Default judgment by court,N,Y,Y
37-2018-00000519-CL-UD-CTL,Carlsbad,92011,1,2018,Court finding,Y,Y,N
37-2018-00000523-CL-UD-CTL,San Diego,92101,1,2018,Court finding,Y,N,N
37-2018-00000537-CL-UD-CTL,CARLSBAD,92008,1,2018,Default judgment by clerk,N,N,Y
