CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00016931-CU-UD-CTL,LA JOLLA,92037,4,2018,Stipulated judgment,Y,Y,N
37-2018-00026506-CU-UD-CTL,Escondido,92026,5,2018,Summary judgment,Y,N,N
37-2018-00036568-CU-UD-CTL,SAN DIEGO,92130,7,2018,Stipulated judgment,N,N,N
37-2018-00043398-CU-UD-CTL,La Jolla,92037,8,2018,Stipulated judgment,Y,N,N
37-2018-00045564-CU-UD-CTL,San Ysidro,92173,9,2018,Stipulated judgment,Y,N,N
37-2018-00045951-CU-UD-CTL,BONITA,91902,9,2018,,N,N,N
37-2018-00047286-CU-UD-CTL,Poway,92064,9,2018,,N,N,N
37-2018-00057291-CU-UD-CTL,El Cajon,92021,11,2018,Court finding,Y,Y,Y
37-2018-00063017-CU-UD-CTL,San Diego,92126,12,2018,Dismissed,Y,N,N
37-2019-00001012-CU-UD-CTL,LA MESA,91941,1,2019,Court finding,Y,N,N
37-2019-00009096-CU-UD-CTL,San Diego,92127,2,2019,Stipulated judgment,Y,N,N
37-2019-00011708-CU-UD-CTL,Carlsbad,92011,3,2019,Stipulated judgment,Y,N,N
37-2019-00028618-CU-UD-CTL,,,6,2019,Request for Dismissal,N,N,N
37-2019-00035114-CU-UD-CTL,Alpine,91901,7,2019,,N,N,N
37-2019-00036149-CU-UD-CTL,SAN DIEGO,92154,7,2019,Summary judgment,Y,N,N
37-2019-00036187-CU-UD-CTL,Escondido,92027,7,2019,,N,N,N
37-2019-00041888-CU-UD-CTL,RANCHO SANTA FE,92067,8,2019,Stipulated judgment,Y,N,N
37-2019-00061929-CU-UD-CTL,San Diego,92114,11,2019,,N,N,N
37-2019-00066168-CU-UD-CTL,Escondido,92029,12,2019,Court-ordered dismissal,Y,N,N
37-2020-00001275-CU-UD-CTL,San Diego,92122,1,2020,Court-ordered dismissal,Y,N,N
37-2020-00006746-CU-UD-CTL,Carlsbad,92011,2,2020,Court finding,Y,Y,N
37-2020-00008816-CU-UD-CTL,Oceanside,92056,2,2020,Court-ordered dismissal,N,N,N
37-2020-00010324-CU-UD-CTL,Chula Vista,91910,2,2020,Court finding,Y,Y,N
37-2020-00010382-CU-UD-CTL,San Diego,92101,2,2020,Court-ordered dismissal,Y,N,N
37-2020-00010512-CU-UD-CTL,San Diego,92101,2,2020,Court-ordered dismissal,Y,N,N
37-2020-00010889-CU-UD-CTL,San Diego,92101,2,2020,Court-ordered dismissal,Y,N,N
37-2020-00010930-CU-UD-CTL,San Diego,92101,2,2020,Court-ordered dismissal,Y,N,N
37-2020-00011366-CU-UD-CTL,San Diego,92101,2,2020,Request for Dismissal,Y,N,N
37-2020-00012198-CU-UD-CTL,San Diego,92101,3,2020,Other court dismissal - Conditional or Good Faith ,Y,N,N
37-2020-00015937-CU-UD-CTL,El Cajon,92019,3,2020,Stipulated settlement per CCP 664.6,Y,N,N
37-2020-00018960-CU-UD-CTL,,,6,2020,Court dismissal- Lack of Prosecution,N,N,N
37-2020-00019363-CU-UD-CTL,Encinitas,92024,6,2020,Court-ordered dismissal,Y,Y,N
37-2020-00027259-CU-UD-CTL,San Diego,92117,8,2020,Court-ordered dismissal,N,N,N
37-2020-00028603-CU-UD-CTL,San Diego,92129,8,2020,Court-ordered dismissal,Y,N,N
37-2020-00034774-CU-UD-CTL,San Diego,92115,9,2020,,Y,N,N
37-2020-00039197-CU-UD-CTL,San Diego,92127,10,2020,Default judgment by court,N,Y,Y
37-2020-00041595-CU-UD-CTL,OCEANSIDE,92058,11,2020,Court-ordered dismissal,Y,N,N
37-2020-00042902-CU-UD-CTL,SPRING VALLEY,91977,11,2020,,Y,N,N
37-2020-00043593-CU-UD-CTL,Encinitas,92024,11,2020,Request for Dismissal,Y,N,Y
37-2020-00045568-CU-UD-CTL,La Jolla,92037,12,2020,Court finding,N,Y,Y
