CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00000162-CU-UD-CTL,Oceanside,92056,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000630-CU-UD-CTL,San Diego,92114,1,2018,Court dismissal- Lack of Prosecution,N,N,Y
37-2018-00001189-CU-UD-CTL,Escondido,92025,1,2018,Default judgment by clerk,N,N,N
37-2018-00001657-CU-UD-CTL,San Diego,92110,1,2018,Default judgment by clerk,N,N,Y
37-2018-00008591-CU-UD-CTL,San Diego,92108,2,2018,Request for Dismissal,N,N,N
37-2018-00009176-CU-UD-CTL,Spring Valley,91977,2,2018,Court dismissal- Lack of Prosecution,Y,N,N
37-2018-00010679-CU-UD-CTL,San Diego,92109,3,2018,Request for Dismissal,N,N,N
37-2018-00010774-CU-UD-CTL,La Mesa,91941,3,2018,Request for Dismissal,N,N,N
37-2018-00018088-CU-UD-CTL,San Diego,92101,4,2018,Dismissed,Y,N,N
37-2018-00018217-CU-UD-CTL,San Diego,92114,4,2018,,N,N,N
37-2018-00018687-CU-UD-CTL,Spring Valley,91977,4,2018,Default judgment by court,N,N,Y
37-2018-00021849-CU-UD-CTL,Chula Vista,91913-3916,5,2018,Request for Dismissal,N,N,Y
37-2018-00023208-CU-UD-CTL,San Diego,92109,5,2018,Request for Dismissal,Y,N,N
37-2018-00026581-CU-UD-CTL,San Diego,92108,5,2018,,N,N,N
37-2018-00028374-CU-UD-CTL,San Diego,92108,6,2018,Default judgment by clerk,N,N,Y
37-2018-00028493-CU-UD-CTL,Chula Vista,91911,6,2018,Court-ordered dismissal,Y,N,N
37-2018-00029240-CU-UD-CTL,Fallbrook,92028,6,2018,,N,N,Y
37-2018-00029330-CU-UD-CTL,Chula Vista,91915,6,2018,Other court dismissal - Conditional or Good Faith ,Y,N,N
37-2018-00031176-CU-UD-CTL,La Jolla,92037,6,2018,Default judgment by court,N,Y,Y
37-2018-00037589-CU-UD-CTL,Escondido,92029,7,2018,Court-ordered dismissal,Y,N,N
37-2018-00043310-CU-UD-CTL,La Jolla,92037,8,2018,Stipulated judgment,Y,N,N
37-2018-00045553-CU-UD-CTL,National City,91950,9,2018,Court finding,Y,Y,N
37-2018-00045770-CU-UD-CTL,La Jolla,92037,9,2018,Court finding,Y,N,N
37-2018-00054760-CU-UD-CTL,OCEANSIDE,92056,10,2018,Dismissed,N,N,N
37-2018-00060688-CU-UD-CTL,Carlsbad,92011,12,2018,Default judgment by clerk,N,N,Y
37-2018-00062601-CU-UD-CTL,San Diego,92115,12,2018,Request for Dismissal,N,N,N
37-2019-00000510-CU-UD-CTL,San Diego,92130,1,2019,Court finding,Y,N,N
37-2019-00003520-CU-UD-CTL,Encinitas,92024,1,2019,Request for Dismissal,Y,N,N
37-2019-00004029-CU-UD-CTL,National City,91950,1,2019,Court-ordered dismissal,N,N,N
37-2019-00010809-CU-UD-CTL,Chula Vista,91910,2,2019,Consolidated,Y,N,N
37-2019-00011421-CU-UD-CTL,Coronado,92118-3213,3,2019,Dismissed,Y,N,N
37-2019-00017792-CU-UD-CTL,Escondido,92026,4,2019,Default judgment by clerk,N,N,Y
37-2019-00018700-CU-UD-CTL,Fallbrook,92028,4,2019,Default judgment by clerk,N,N,Y
37-2019-00019895-CU-UD-CTL,Escondido,92026,4,2019,Default judgment by clerk,N,N,Y
37-2019-00021028-CU-UD-CTL,La Jolla,92037,4,2019,Request for Dismissal,N,N,N
37-2019-00022757-CU-UD-CTL,San Diego,92124,5,2019,Court finding,Y,N,N
37-2019-00023238-CU-UD-CTL,San Diego,92114,5,2019,Request for Dismissal,N,N,Y
37-2019-00024094-CU-UD-CTL,Del Mar,92014,5,2019,Default judgment by court,N,N,Y
37-2019-00024997-CU-UD-CTL,San Marcos,92078,5,2019,Court finding,Y,Y,N
37-2019-00026613-CU-UD-CTL,Oceanside,92054,5,2019,Default judgment by clerk,N,N,Y
37-2019-00027099-CU-UD-CTL,Bonsall,92003,5,2019,Jury verdict,Y,Y,Y
37-2019-00029272-CU-UD-CTL,Chula Vista,91913,6,2019,Consolidated,N,N,N
37-2019-00036917-CU-UD-CTL,National City,91950,7,2019,Stipulated judgment,Y,N,N
37-2019-00039042-CU-UD-CTL,Encinitas,92024,7,2019,Request for Dismissal,N,N,N
37-2019-00047791-CU-UD-CTL,Fallbrook,92028,9,2019,Default judgment by clerk,N,N,Y
37-2019-00053844-CU-UD-CTL,Chula Vista,91914,10,2019,Default judgment by clerk,N,N,Y
37-2019-00055308-CU-UD-CTL,San Diego,92127,10,2019,Stipulated judgment,N,N,N
37-2019-00061337-CU-UD-CTL,La Mesa,91942,11,2019,Dismissed,N,N,N
37-2019-00064166-CU-UD-CTL,El Cajon,92019,12,2019,Default judgment by clerk,Y,N,Y
37-2019-00064316-CU-UD-CTL,Fallbrook,92028,12,2019,Stipulated judgment,N,Y,N
37-2019-00065062-CU-UD-CTL,Encinitas,92024,12,2019,Default judgment by clerk,N,N,Y
37-2019-00067516-CU-UD-CTL,San Diego,92108,12,2019,Request for Dismissal,N,N,N
37-2019-00068067-CU-UD-CTL,OCEANSIDE,92057,12,2019,Default judgment by clerk,N,N,Y
37-2019-00068231-CU-UD-CTL,San Diego,92113,12,2019,Court dismissal- Lack of Prosecution,N,N,N
37-2020-00004422-CU-UD-CTL,Pauma Valley,92082,1,2020,Default judgment by clerk,N,N,Y
37-2020-00007930-CU-UD-CTL,Poway,92064,2,2020,Request for Dismissal,Y,N,N
37-2020-00008311-CU-UD-CTL,San Diego,92105,2,2020,Default judgment by clerk,N,N,Y
37-2020-00010905-CU-UD-CTL,San Diego,92106,2,2020,Dismissed,N,N,N
37-2020-00012610-CU-UD-CTL,Poway,92064,3,2020,Request for Dismissal,N,N,N
37-2020-00012839-CU-UD-CTL,Rancho Santa Fe,92067,3,2020,Request for Dismissal,Y,N,N
37-2020-00020532-CU-UD-CTL,San Diego,92104,6,2020,Default judgment by clerk,N,N,Y
37-2020-00022082-CU-UD-CTL,La Jolla,92037,6,2020,Request for Dismissal,N,N,N
37-2020-00023353-CU-UD-CTL,La Mesa,91941,7,2020,Consolidated,N,N,N
37-2020-00025877-CU-UD-CTL,Fallbrook,92028,7,2020,Stipulated settlement per CCP 664.6,Y,N,N
37-2020-00026584-CU-UD-CTL,SAN MARCOS,92069,7,2020,Default judgment by clerk,N,N,Y
37-2020-00026893-CU-UD-CTL,San Diego,92127,7,2020,Request for Dismissal,N,N,N
37-2020-00027155-CU-UD-CTL,San Marcos,92078,8,2020,Default judgment by court,N,N,Y
37-2020-00027506-CU-UD-CTL,San Diego,92106,8,2020,Request for Dismissal,N,N,N
37-2020-00028741-CU-UD-CTL,OCEANSIDE,92056,8,2020,Court finding,Y,Y,Y
37-2020-00031597-CU-UD-CTL,San Diego,92129,9,2020,Request for Dismissal,N,N,N
37-2020-00031662-CU-UD-CTL,Carlsbad,92011,9,2020,Other court dismissal - Conditional or Good Faith ,N,N,N
37-2020-00036314-CU-UD-CTL,San Diego,92109,10,2020,Court-ordered dismissal,N,N,N
37-2020-00039081-CU-UD-CTL,San Diego,92126,10,2020,Default judgment by clerk,N,N,Y
37-2020-00039300-CU-UD-CTL,San Diego,92102,10,2020,Dismissed,N,N,N
37-2020-00042220-CU-UD-CTL,San Diego,92101,11,2020,Default judgment by clerk,N,N,Y
37-2020-00042988-CU-UD-CTL,SPRING VALLEY,91978,11,2020,Court dismissal- Lack of Prosecution,N,N,N
37-2020-00043318-CU-UD-CTL,SPRING VALLEY,91977,11,2020,Dismissed,N,N,Y
37-2020-00043417-CU-UD-CTL,IMPERIAL BEACH,91932,11,2020,Default judgment by clerk,N,N,Y
37-2020-00043795-CU-UD-CTL,San Diego,92101,12,2020,Default judgment by clerk,N,N,Y
37-2020-00043834-CU-UD-CTL,Cardiff by the Sea,92007,12,2020,Default judgment by clerk,N,N,Y
37-2020-00043955-CU-UD-CTL,San Diego,92101,12,2020,Default judgment by clerk,N,N,Y
37-2020-00044187-CU-UD-CTL,Bonita,91902,12,2020,Court finding,Y,Y,N
37-2020-00044258-CU-UD-CTL,Oceanside,92056,12,2020,Default judgment by clerk,N,N,Y
37-2020-00045263-CU-UD-CTL,Chula Vista,91911,12,2020,Court-ordered dismissal,Y,N,N
37-2020-00046442-CU-UD-CTL,El Cajon,92021,12,2020,,N,N,N
37-2020-00047156-CU-UD-CTL,EL CAJON,92020,12,2020,Default judgment by clerk,N,N,Y
37-2020-00047255-CU-UD-CTL,Spring Valley,91977,12,2020,Other court dismissal - Conditional or Good Faith ,N,N,N
37-2020-00047647-CU-UD-CTL,CHULA VISTA,91915,12,2020,Request for Dismissal,N,N,N
37-2020-00047843-CU-UD-CTL,San Diego,92114,12,2020,Default judgment by clerk,N,N,N
37-2020-00048376-CU-UD-CTL,RAMONA,92065,12,2020,Default judgment by clerk,N,N,Y
37-2020-00048436-CU-UD-CTL,Imperial Beach,91932,12,2020,Stipulated settlement per CCP 664.6,Y,N,N
37-2021-00002099-CU-UD-CTL,Spring Valley,91977,1,2021,Default judgment by clerk,N,N,Y
37-2021-00002462-CU-UD-CTL,SAN DIEGO,92117,1,2021,Court dismissal- Lack of Prosecution,Y,N,N
37-2021-00003399-CU-UD-CTL,Oceanside,92057,1,2021,Request for Dismissal,N,N,N
37-2021-00005207-CU-UD-CTL,San Diego,92101,2,2021,Default judgment by clerk,N,N,Y
37-2021-00006733-CU-UD-CTL,Poway,92064,2,2021,Court finding,Y,N,N
37-2021-00010828-CU-UD-CTL,Vista,92083,3,2021,Default judgment by clerk,N,N,Y
37-2021-00012202-CU-UD-CTL,Bonita,91902,3,2021,Default judgment by court,N,Y,Y
37-2021-00016564-CU-UD-CTL,Oceanside,92054,4,2021,,Y,N,Y
37-2021-00018490-CU-UD-CTL,Chula Vista,91915,4,2021,Request for Dismissal,N,N,N
37-2021-00021349-CU-UD-CTL,San Diego,92101,5,2021,Default judgment by clerk,N,N,Y
37-2021-00021403-CU-UD-CTL,SAN DIEGO,92109,5,2021,Court finding,Y,N,N
37-2021-00027376-CU-UD-CTL,San Diego,92101,6,2021,Request for Dismissal,Y,N,N
37-2021-00028101-CU-UD-CTL,San Diego,92126,6,2021,Default judgment by clerk,N,N,Y
37-2021-00029663-CU-UD-CTL,Carlsbad,92008,7,2021,Default judgment by clerk,N,N,Y
37-2021-00034757-CU-UD-CTL,San Diego,92101,8,2021,Default judgment by court,N,N,Y
37-2021-00036641-CU-UD-CTL,San Diego,92114,8,2021,Court finding,Y,Y,Y
37-2021-00036643-CU-UD-CTL,San Diego,92114,8,2021,Request for Dismissal,Y,Y,Y
37-2021-00036674-CU-UD-CTL,Santee,92071,8,2021,Default judgment by clerk,N,N,Y
